textBox142,textBox1,textBox2,textBox72,textBox74,textBox73,textBox81,textBox78,textBox80,textBox79,textBox77,textBox76,textBox75,textBox3,,_X,_Y,textBox7,textBox8,textBox9,textBox10,textBox13,textBox14,textBox17,textBox18,textBox15,textBox16,textBox31,textBox32,textBox25,textBox26,textBox29,textBox30,textBox27,textBox28,textBox23,textBox24,textBox21,textBox22,textBox19,textBox20,textBox11,textBox12,textBox82,textBox83,textBox85,textBox87,textBox86,textBox94,textBox91,textBox93,textBox92,textBox90,textBox89,textBox88,textBox84,textBox46,textBox47,textBox49,textBox51,textBox50,textBox58,textBox55,textBox57,textBox56,textBox54,textBox53,textBox52,textBox48,textBox33,textBox34,textBox36,textBox38,textBox37,textBox45,textBox42,textBox44,textBox43,textBox41,textBox40,textBox39,textBox35,textBox59,textBox60,textBox62,textBox64,textBox63,textBox71,textBox68,textBox70,textBox69,textBox67,textBox66,textBox65,textBox61,textBox95,textBox143,textBox109,textBox110,textBox108,textBox96,textBox111,textBox112,textBox98,textBox113,textBox114,textBox100,textBox115,textBox116,textBox99,textBox117,textBox118,textBox107,textBox119,textBox120,textBox104,textBox121,textBox122,textBox106,textBox123,textBox124,textBox105,textBox125,textBox126,textBox103,textBox127,textBox128,textBox102,textBox129,textBox130,textBox101,textBox131,textBox132
ยอดขาย (THB),จำนวนลูกค้า 2025,0,0,0,0,2,0,0,2,3,15,6,5,,ม.ค.,9000000.0000000000,หน่วย :  THB,เป้าหมาย 2026,ม.ค.,"9,000,000",ก.w.,"9,000,000",มี.ค.,"9,000,000",เม.ษ.,"9,000,000",พ.ค.,"9,000,000",มิ.ย.,"9,000,000",ก.ค.,"9,000,000",ส.ค.,"9,000,000",ก.ย.,"9,000,000",ต.ค.,"9,000,000",พ.ย.,"9,000,000",ธ.ค.,"9,000,000",%YoY,n/a,n/a,n/a,n/a,350.0%,n/a,n/a,,,,,,ยอดขาย/SO 2025,0,0,0,0,"91,262",0,0,"13,124","28,416","73,031","54,118","30,318",%YoY,n/a,n/a,n/a,n/a,-0.7%,n/a,n/a,,,,,,%YoY,n/a,n/a,n/a,n/a,-77.9%,n/a,n/a,,,,,,3 อันดับลูกค้า,(2026),คุณเช็ค บริษัท พีว่า จำกัด,(คุณกฤช) ณัฐกฤช วิริยะปัญญาวุฒิ,(คุณอู๋จี๋) by นางสาวอัญณิษาณ์ บัวอำไพ,(คุณมิน) คุณต่อ นาย ธีระพล พงษ์กล้าหาญ,คุณเช็ค บริษัท พีว่า จำกัด,บริษัท อร ออร่า จำกัด,บจก.จูลี่ ซีเคร็ท(ไทยแลนด์),คุณเช็ค บริษัท พีว่า จำกัด,PWINT PHYU MAUNG (PM) TRADING COMPANY LIMITED,PWINT PHYU MAUNG (PM) TRADING COMPANY LIMITED,คุณเก๋ บริษัท อัลเตอร์เมด กรุ๊ป จำกัด,บริษัท เอ็น.ที.อาร์ (88) จำกัด,(คุณโม) by นาย ภาสวิชญ์ พัวประดิษฐ์,(คุณแต๊ก) คุณสุภนิดา ประยูร,(คุณจิ๊กซอว์) น.ส. ณัฐธิดา รักยิ่ง,(คุณมาย) บริษัท มายโจโปรสตาลอฟ จำกัด,บจก.จูลี่ ซีเคร็ท(ไทยแลนด์),,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),จำนวนลูกค้า 2026,4,8,5,6,9,2,,,,,,,,ก.w.,9000000.0000000000,หน่วย :  THB,ยอดขาย 2025,ม.ค.,0,ก.w.,0,มี.ค.,0,เม.ษ.,0,พ.ค.,"182,525",มิ.ย.,0,ก.ค.,0,ส.ค.,"52,497",ก.ย.,"85,250",ต.ค.,"1,241,532",พ.ย.,"432,945",ธ.ค.,"333,500",,,,,,,,,,,,,,ยอดขาย/SO 2026,"38,562","19,871","23,210","52,353","20,144","5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 อันดับกลุ่มสินค้า,(2026),อื่นๆ,ครีมนวด,สลีปปิ้งมาส์ก,บอดี้ี้ออยล์,สครับ,แชมพู,สลีปปิ้งมาส์ก,แชมพู,บอดี้โลชั่น,บอดี้โลชั่น,เซรั่ม,พัฒนาสูตร,เซรั่ม,ครีมบำรุง,ครีมกันแดด,พัฒนาสูตร,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,มี.ค.,9000000.0000000000,หน่วย :  THB,ยอดขาย 2026,ม.ค.,"154,250",ก.w.,"198,716",มี.ค.,"116,050",เม.ษ.,"418,825",พ.ค.,"181,303",มิ.ย.,"10,000",ก.ค.,,ส.ค.,,ก.ย.,,ต.ค.,,พ.ย.,,ธ.ค.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 อันดับพนักงานขาย,(2026),Saiwarun Admin SM,,Chompoonuch SM2 Sawaengsak,Chompoonuch SM2 Sawaengsak,Saiwarun Admin SM,Vorapin SM1 Rojanapanich,Chompoonuch SM2 Sawaengsak,Vorapin SM1 Rojanapanich,,Vorapin SM1 Rojanapanich,Chompoonuch SM2 Sawaengsak,Parichat SM3,Chompoonuch SM2 Sawaengsak,Parichat SM3,Saiwarun Admin SM,Chompoonuch SM2 Sawaengsak,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,เม.ษ.,9000000.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,พ.ค.,9000000.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,มิ.ย.,9000000.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,ก.ค.,9000000.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,ส.ค.,9000000.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,ก.ย.,9000000.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,ต.ค.,9000000.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,พ.ย.,9000000.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ยอดขาย (THB),,,,,,,,,,,,,,,ธ.ค.,9000000.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
